Skill,Count,Category
Usability Testing,4,Other
Use Case,4,Other
User Research,4,Other
User Testing,4,Other
VLAN,4,Cloud & DevOps
VPC,4,Cloud & DevOps
Video Analytics,4,AI/ML
Vulnerability Scanning,4,Cloud & DevOps
WCDMA,4,Cloud & DevOps
WCF,4,Frameworks / Libraries
Wiki,4,Other
Wildfly,4,Frameworks / Libraries
Wireless Communication,4,Cloud & DevOps
XSL,4,Frameworks / Libraries
Xamarin,4,Frameworks / Libraries
gNMI,4,Cloud & DevOps
iOS SDK,4,Frameworks / Libraries
vSphere,4,Cloud & DevOps
3D Geometry,3,Other
3D Graphics,3,Frameworks / Libraries
3D Modeling,3,Frameworks / Libraries
3GPP,3,Cloud & DevOps
ABAP,3,Other
AR,3,Frameworks / Libraries
AWS Fargate,3,Cloud & DevOps
AWS Neuron,3,Cloud & DevOps
AWS SageMaker,3,Cloud & DevOps
AXIS,3,Cloud & DevOps
Access Control,3,Cloud & DevOps
Aha!,3,Other
Alibaba Cloud,3,Cloud & DevOps
Amazon RDS,3,Cloud & DevOps
Angular Material,3,Frameworks / Libraries
Apache NiFi,3,Databases
Apple App Store,3,Frameworks / Libraries
Application Lifecycle Management,3,Other
Applications Integration,3,Frameworks / Libraries
Assembly Language,3,Languages
Atlassian,3,Other
Atlassian Suite,3,Other
Authentication,3,Cloud & DevOps
AutoGen,3,AI/ML
Automation Framework,3,Testing
Axon,3,Other
Azure AI,3,Cloud & DevOps
Azure AI Services,3,Cloud & DevOps
Azure App Services,3,Cloud & DevOps
Azure Key Vault,3,Cloud & DevOps
Azure Pipelines,3,Cloud & DevOps
Azure SQL Database,3,Cloud & DevOps
Azure Synapse,3,Cloud & DevOps
BDD,3,Testing
Bayesian Optimization,3,AI/ML
Big Data Analytics,3,Databases
Browser Developer Tools,3,Frameworks / Libraries
Burp Suite,3,Cloud & DevOps
CANalyzer,3,Cloud & DevOps
CARLA,3,Cloud & DevOps
CPU Architecture,3,Other
CRM,3,Other
CSS-in-JS,3,Frameworks / Libraries
Canvas,3,Other
Canvas LMS,3,Other
Causal Inference,3,Databases
Change Management,3,Other
Chatbots,3,AI/ML
Clang,3,Cloud & DevOps
ClickUp,3,Other
Cloud Security,3,Cloud & DevOps
Cloud Services,3,Cloud & DevOps
Cloud-Native Architecture,3,Other
CloudFormation,3,Cloud & DevOps
Code Generation,3,Other
Codeium,3,AI/ML
Codex,3,AI/ML
Concurrency,3,Other
Coroutines,3,Frameworks / Libraries
Cosmos DB,3,Databases
Cross Browser Testing,3,Testing
Cross-Browser Development,3,Testing
DCS,3,Cloud & DevOps
DHCP,3,Cloud & DevOps
DPDK,3,Cloud & DevOps
DXL,3,Languages
Dash,3,Databases
Data Masking,3,Databases
Data Migration,3,Databases
Data Security,3,Cloud & DevOps
Data Strategy,3,Databases
Database Fundamentals,3,Databases
Database Systems,3,Databases
Detox,3,Frameworks / Libraries
Digital Twin,3,Cloud & DevOps
DirectX,3,Frameworks / Libraries
Disaster Recovery,3,Cloud & DevOps
Distributed Messaging,3,Frameworks / Libraries
Docker Compose,3,Cloud & DevOps
Document Classification,3,AI/ML
Driver Development,3,Cloud & DevOps
Drivers,3,Cloud & DevOps
Dynamic Analysis,3,Testing
EKS,3,Cloud & DevOps
ES6,3,Languages
ESXi,3,Cloud & DevOps
ETL/ELT,3,Databases
EVPN,3,Cloud & DevOps
Elastic Stack,3,Cloud & DevOps
Electronics,3,Cloud & DevOps
Ember.js,3,Frameworks / Libraries
Erlang,3,Languages
Esri ArcGIS,3,Other
Failure Analysis,3,Other
Few-shot Learning,3,AI/ML
Fiddler,3,Testing
File Systems,3,Other
Firewalls,3,Cloud & DevOps
Flutter,3,Frameworks / Libraries
Forecasting,3,Other
Forensics,3,Cloud & DevOps
Foundation Models,3,AI/ML
GPIO,3,Cloud & DevOps
GUI,3,Frameworks / Libraries
GenAI,3,AI/ML
Generative Adversarial Networks,3,AI/ML
GetFeedback,3,Other
GitLab CI/CD,3,Cloud & DevOps
Glassfish,3,Frameworks / Libraries
Google Gemini,3,AI/ML
Google Play Store,3,Frameworks / Libraries
Graph Databases,3,Databases
Guice,3,Other
HackerRank,3,Other
Hardware Debugging,3,Cloud & DevOps
Hardware Testing,3,Cloud & DevOps
Hardware/Software Integration,3,Cloud & DevOps
Houdini,3,Frameworks / Libraries
Human-Centered Design,3,Other
IIS,3,Frameworks / Libraries
IMU,3,Cloud & DevOps
ISO,3,Other
IT Asset Management,3,Other
IT Governance,3,Other
IT Service Management,3,Other
ITSM,3,Other
InVision,3,Other
Incident Handling,3,Cloud & DevOps
Informatica,3,Databases
Information Security,3,Cloud & DevOps
IntelliJ IDEA,3,Other
JSF,3,Frameworks / Libraries
JSP,3,Frameworks / Libraries
JWT,3,Cloud & DevOps
Jasmine,3,Testing
KNIME,3,Databases
Kubeflow,3,AI/ML
L2/L3 Services,3,Cloud & DevOps
LDAP,3,Cloud & DevOps
LLaMa,3,AI/ML
Ladder Logic,3,Languages
Lambda,3,Frameworks / Libraries
Leaflet,3,Frameworks / Libraries
Lean UX,3,Other
LiDAR,3,Cloud & DevOps
Linux command line,3,Other
Lucene,3,Databases
MISRA,3,Other
ML,3,AI/ML
MLIR,3,AI/ML
MS Access,3,Other
MUI,3,Frameworks / Libraries
MVVM,3,Frameworks / Libraries
MXNet,3,AI/ML
Mac,3,Other
Markdown,3,Other
MassMotion,3,Other
Maya,3,Frameworks / Libraries
McCabe,3,Testing
Mercurial,3,Cloud & DevOps
Metaflow,3,Databases
Metrology,3,Cloud & DevOps
Micro Frontends,3,Frameworks / Libraries
Microsoft Dynamics,3,Other
Microsoft Power Apps,3,Other
Microsoft Power Automate,3,Languages
Microsoft Purview,3,Other
Middleware,3,Cloud & DevOps
Modbus,3,Cloud & DevOps
Model Deployment,3,AI/ML
Motion Planning,3,Cloud & DevOps
Multi-core Programming,3,Cloud & DevOps
Multimeters,3,Cloud & DevOps
Multimodal AI,3,AI/ML
Multimodal Models,3,AI/ML
NFV,3,Cloud & DevOps
NHibernate,3,Databases
NIST Cybersecurity Framework,3,Cloud & DevOps
NR,3,Cloud & DevOps
Network Administration,3,Cloud & DevOps
Network Security,3,Cloud & DevOps
Non-Relational Databases,3,Databases
Nutanix,3,Cloud & DevOps
Nuxt.js,3,Frameworks / Libraries
Nx,3,Cloud & DevOps
OAuth 2.0,3,Frameworks / Libraries
OpenAPI,3,Frameworks / Libraries
OpenTelemetry,3,Cloud & DevOps
Opsgenie,3,Cloud & DevOps
PHIPA,3,Cloud & DevOps
PHPUnit,3,Testing
PID Control,3,Cloud & DevOps
POSIX,3,Cloud & DevOps
Packer,3,Cloud & DevOps
Performance Analysis,3,Other
Performance Profiling,3,Other
Performance Tuning,3,Other
Periscope,3,Databases
Photogrammetry,3,Other
PixiJS,3,Frameworks / Libraries
Point Cloud Processing,3,Cloud & DevOps
Power Supplies,3,Cloud & DevOps
Process Automation,3,Languages
Process Optimization,3,Other
Proligent Analytics,3,Databases
Pub/Sub,3,Frameworks / Libraries
Pulumi,3,Cloud & DevOps
Puppeteer,3,Testing
PyQt,3,Frameworks / Libraries
QA Automation,3,Testing
QGIS,3,Other
Qualcomm Snapdragon,3,Cloud & DevOps
Qualitative Research,3,Other
RAID,3,Cloud & DevOps
REDCap,3,Other
RF,3,Cloud & DevOps
RPM,3,Other
Rancher,3,Cloud & DevOps
Random Forest,3,AI/ML
Real-time Operating Systems,3,Other
Remote Sensing,3,Other
Responsive Web Design,3,Frameworks / Libraries
Risk Analysis,3,Other
Roadmap,3,Other
SAE J1939,3,Cloud & DevOps
SAE J3061,3,Cloud & DevOps
SAP Business Technology Platform,3,Other
SCOM,3,Cloud & DevOps
SLAM,3,Cloud & DevOps
SRE,3,Cloud & DevOps
STL,3,Languages
Security Operations,3,Cloud & DevOps
Seldon Core,3,AI/ML
Self-supervised Learning,3,AI/ML
Semantic Search,3,AI/ML
Semi-supervised Learning,3,AI/ML
Serial Protocols,3,Cloud & DevOps
Servers,3,Cloud & DevOps
Service Design,3,Other
Simulator,3,Other
Sockets,3,Frameworks / Libraries
Software Deployment,3,Other
Soldering,3,Cloud & DevOps
Solr,3,Databases
SpecFlow,3,Testing
State estimation,3,Cloud & DevOps
Structured Text,3,Other
Supabase,3,Databases
Support Vector Machine,3,AI/ML
Surveys,3,Other
Survival Analysis,3,Other
System Integration Testing,3,Testing
System Monitoring,3,Cloud & DevOps
System on Chip,3,Cloud & DevOps
Systems Design,3,Frameworks / Libraries
TVM,3,AI/ML
Teradata,3,Databases
Test Complete,3,Testing
TestRail,3,Testing
Testing Frameworks,3,Testing
Threat Management,3,Cloud & DevOps
Threat Modeling,3,Cloud & DevOps
Topic Modeling,3,AI/ML
UCMP,3,Cloud & DevOps
UEFN,3,Frameworks / Libraries
UI Development,3,Frameworks / Libraries
Unity Catalog,3,Frameworks / Libraries
User Interviews,3,Other
V-Model,3,Other
VMware ESX,3,Cloud & DevOps
VMware NSX,3,Cloud & DevOps
VR,3,Frameworks / Libraries
Video Codecs,3,Cloud & DevOps
Visual Design,3,Other
Visual Studio Debugger,3,Other
VoIP,3,Cloud & DevOps
Vuex,3,Frameworks / Libraries
WAN,3,Cloud & DevOps
Walkme,3,Other
Web,3,Frameworks / Libraries
Web Design,3,Other
Windows 11,3,Cloud & DevOps
Windows Forms,3,Frameworks / Libraries
Wireframing,3,Other
Wireless Networks,3,Cloud & DevOps
Wireless Protocols,3,Cloud & DevOps
XLA,3,AI/ML
XR,3,Frameworks / Libraries
Xamarin Forms,3,Frameworks / Libraries
Yocto Project,3,Cloud & DevOps
YouTube,3,Other
Zendesk,3,Other
Zod,3,Frameworks / Libraries
ZooKeeper,3,Databases
esbuild,3,Frameworks / Libraries
grep,3,Languages
requests,3,Languages
shadcn/ui,3,Frameworks / Libraries
x86,3,Cloud & DevOps
.NET MAUI,2,Frameworks / Libraries
3D Visualization,2,Other
3D programming,2,Frameworks / Libraries
3GPP NR,2,Cloud & DevOps
3ds Max,2,Frameworks / Libraries
AEM,2,Other
AI Governance,2,AI/ML
AI Strategy,2,AI/ML
AI4Code,2,AI/ML
AIOps,2,Cloud & DevOps
API Management,2,Frameworks / Libraries
ARIMA,2,AI/ML
ARIS,2,Other
ASIC Verification,2,Cloud & DevOps
ATOM,2,Other
AWS Amplify,2,Cloud & DevOps
AWS AppSync,2,Cloud & DevOps
AWS Deep Learning AMIs,2,Cloud & DevOps
AWS Deep Learning Containers,2,Cloud & DevOps
AWS ECS,2,Cloud & DevOps
AWS Inferentia,2,Cloud & DevOps
AWS IoT,2,Cloud & DevOps
AWS Route 53,2,Cloud & DevOps
AWS Step Functions,2,Cloud & DevOps
AWS Trainium,2,Cloud & DevOps
Acceptance Test Driven Development,2,Testing
Acceptance Testing,2,Testing
Accessibility Testing,2,Testing
Adobe Acrobat,2,Other
Adobe Experience Manager,2,Other
Adobe Illustrator,2,Other
Adobe Photoshop,2,Other
Agentic AI Framework,2,AI/ML
Agile software development,2,Other
Alerting,2,Cloud & DevOps
Amazon Athena,2,Databases
Amazon CloudFront,2,Cloud & DevOps
Amazon ECS,2,Cloud & DevOps
Amazon Q,2,Cloud & DevOps
Anaconda,2,Databases
Analog Circuit Design,2,Other
Android OS,2,Frameworks / Libraries
Android TV,2,Frameworks / Libraries
Android Testing Framework,2,Frameworks / Libraries
Ant,2,Languages
Antivirus,2,Cloud & DevOps
Anypoint Studio,2,Other
Apache JMeter,2,Other
Apache Parquet,2,Databases
App Engine,2,Cloud & DevOps
AppDynamics,2,Cloud & DevOps
Apple TV,2,Frameworks / Libraries
Application Orchestration,2,Cloud & DevOps
Application Security,2,Cloud & DevOps
Application Support,2,Other
Argo Workflows,2,Other
ArkUI,2,Frameworks / Libraries
Asynchronous Programming,2,Other
Athena,2,Databases
Audio and Video Protocols,2,Cloud & DevOps
AutoML,2,AI/ML
Autonomous Driving,2,AI/ML
Azure AI Search,2,Cloud & DevOps
Azure Blob Storage,2,Cloud & DevOps
Azure Machine Learning Studio,2,Cloud & DevOps
BERT,2,AI/ML
BLE,2,Cloud & DevOps
BPMN,2,Other
BSD,2,Cloud & DevOps
Batch Processing,2,Databases
Batch Scripting,2,Languages
BigEye,2,Databases
Bluetooth Low Energy,2,Cloud & DevOps
Bug Tracking,2,Testing
Bug Tracking Software,2,Testing
Build Automation,2,Languages
Builder.io,2,AI/ML
Buildroot,2,Cloud & DevOps
Business Continuity Planning,2,Other
Business Objects,2,Other
Business Process Analysis,2,Other
CANoe,2,Cloud & DevOps
CAPL,2,Cloud & DevOps
CBTC,2,Cloud & DevOps
CIS Controls,2,Cloud & DevOps
CMDB,2,Other
COSMOS,2,Cloud & DevOps
CREO,2,Cloud & DevOps
CSA,2,Other
CVSS,2,Cloud & DevOps
Calculus,2,Other
Camtasia,2,Other
Captions AI,2,AI/ML
Cflowd,2,Cloud & DevOps
Chai,2,Testing
Change Control,2,Other
Chef,2,Cloud & DevOps
Chromecast,2,Frameworks / Libraries
Ciena Planner Plus,2,Cloud & DevOps
Cisco,2,Cloud & DevOps
Cliosoft,2,Cloud & DevOps
Cloud Development,2,Cloud & DevOps
Cloud Tasks,2,Cloud & DevOps
Code Analysis,2,Testing
Code Coverage,2,Testing
Codeception,2,Testing
Codility,2,Other
Cognos,2,Other
CometML,2,AI/ML
Compliance,2,Other
Computational Design,2,Other
Compute graph optimization,2,AI/ML
Consul,2,Cloud & DevOps
Container Orchestration,2,Cloud & DevOps
Continuous Testing,2,Testing
Conversational AI,2,AI/ML
Coremetrics,2,Databases
Crimson Hexagon,2,Databases
Customer Behavior Analysis,2,Databases
DDR,2,Cloud & DevOps
DDR4,2,Cloud & DevOps
DDS,2,Cloud & DevOps
DOS Scripting,2,Languages
Dashboards,2,Databases
Data Acquisition Systems,2,Databases
Data Augmentation,2,Databases
Data Clustering,2,AI/ML
Data Communication,2,Cloud & DevOps
Data Lakes,2,Databases
Data Lineage,2,Databases
Data Mapping,2,Databases
Data Patterns,2,Databases
Data Platform,2,Databases
Data Preparation,2,Databases
Data Profiling,2,Databases
Data Sheets,2,Cloud & DevOps
Data Validation,2,Databases
Database Management Systems,2,Databases
Datastore,2,Databases
Dayforce,2,Other
Debug,2,Other
DeepSpeed,2,AI/ML
Deployment Automation,2,Cloud & DevOps
Design System,2,Frameworks / Libraries
Design Tools,2,Other
Device Driver Development,2,Cloud & DevOps
Devin,2,AI/ML
Diffusion Models,2,AI/ML
Digital Circuit Design,2,Other
Digital Forensics,2,Cloud & DevOps
Digital Multimeter,2,Cloud & DevOps
Digital Oscilloscope,2,Cloud & DevOps
Direct3D,2,Frameworks / Libraries
Disaster Recovery Planning,2,Cloud & DevOps
Discord,2,Other
Discovery,2,Other
DoIP,2,Cloud & DevOps
Docling,2,AI/ML
DocuSign,2,Other
Dojo,2,Frameworks / Libraries
DrawIO,2,Other
Dynatrace,2,Cloud & DevOps
ECMAScript,2,Languages
EDA,2,Databases
EF Core,2,Databases
ESRI,2,Other
Edge AI,2,AI/ML
Elastic,2,Databases
Elementary,2,Databases
ElevenLabs,2,AI/ML
Embedded Firmware,2,Cloud & DevOps
Embedded Programming,2,Cloud & DevOps
Entity Relationship Diagram (ERD),2,Other
Exchange Online,2,Other
Experiment Tracking,2,AI/ML
Experimentation,2,Databases
ExtJs,2,Frameworks / Libraries
FAIR Principles,2,Cloud & DevOps
FAISS,2,Databases
FCC,2,Other
FFMPEG,2,Other
FPGA Design,2,Cloud & DevOps
FTIR Spectroscopy,2,Other
Facebook Insights,2,Databases
Fastify,2,Frameworks / Libraries
Feature Extraction,2,AI/ML
File System,2,Other
Financial Analysis,2,Other
Fine-tuning,2,AI/ML
Fire TV,2,Frameworks / Libraries
Fivetran,2,Databases
Flowcharts,2,Other
Flume,2,Databases
Formal Verification,2,Cloud & DevOps
Foundation,2,Frameworks / Libraries
Fourier Regression Analysis,2,Other
Framer,2,Other
Function Block Diagram,2,Languages
Functionality Testing,2,Testing
G-Suite,2,Other
GANs,2,AI/ML
GD&T,2,Cloud & DevOps
GLSL,2,Frameworks / Libraries
GPT-4o-mini,2,AI/ML
GTK,2,Frameworks / Libraries
GUI Development,2,Other
Gas Chromatography,2,Other
Gaussian Splatting,2,AI/ML
Gazebo,2,Cloud & DevOps
Geographic Information Systems,2,Other
GitHub Workflows,2,Cloud & DevOps
Godot,2,Frameworks / Libraries
Good Documentation Practice,2,Other
Good Manufacturing Practice,2,Other
Google ADK,2,AI/ML
Google Ads,2,Databases
Google Apps Script,2,Other
Google Cirq,2,Cloud & DevOps
Google Tag Manager,2,Frameworks / Libraries
Graph Neural Networks,2,AI/ML
Graphic Design,2,Other
Graphics,2,Frameworks / Libraries
Graphics Programming,2,Frameworks / Libraries
Group Policy,2,Cloud & DevOps
Grunt,2,Languages
Gurobi,2,Other
Gym,2,Other
HDLC,2,Cloud & DevOps
HDMI,2,Cloud & DevOps
HFSS,2,Cloud & DevOps
HL7,2,Other
HL7 FHIR,2,Other
HP Anyware,2,Cloud & DevOps
HTTPS,2,Cloud & DevOps
Hardware Systems,2,Cloud & DevOps
Hardware-Software Co-design,2,Cloud & DevOps
Hardware-in-the-Loop (HIL) Testing,2,Cloud & DevOps
Hashicorp Vault,2,Cloud & DevOps
Heuristic Evaluation,2,Other
Hightouch,2,Databases
IATF 16949,2,Other
IBM Qiskit,2,Cloud & DevOps
IBM Rational DOORS,2,Other
IFRS17,2,Other
IGMP,2,Cloud & DevOps
INS,2,Cloud & DevOps
IRAM2,2,Other
ISO 9001,2,Other
IXIA,2,Cloud & DevOps
Image Analysis,2,AI/ML
Image Annotation Tools,2,AI/ML
Image Segmentation,2,AI/ML
Industry 4.0,2,Cloud & DevOps
InfluxDB,2,Databases
Information Visualization,2,Databases
Infrastructure Security,2,Cloud & DevOps
Intelligent Automation,2,AI/ML
Interpretability and Explainability,2,AI/ML
Interrupts,2,Cloud & DevOps
Intrusion Detection System,2,Cloud & DevOps
Intune,2,Cloud & DevOps
Inventor,2,Cloud & DevOps
Issue Tracking,2,Testing
JD Edwards,2,Other
JEE,2,Frameworks / Libraries
JTBD,2,Other
JavaFX,2,Frameworks / Libraries
Jira Service Desk,2,Other
Karl Fischer Titration,2,Other
Karma,2,Testing
Kepler.gl,2,Databases
Kernel Development,2,Cloud & DevOps
Keynote,2,Other
Khoros,2,Other
Kinematics,2,Cloud & DevOps
Kivy,2,Frameworks / Libraries
Knowledge Graphs,2,AI/ML
LINQ,2,Databases
LSTM,2,AI/ML
LTspice,2,Cloud & DevOps
Lakehouse,2,Databases
Large Multimodal Models,2,AI/ML
Lean Manufacturing,2,Other
Linear,2,Other
Linting,2,Testing
Localization,2,Frameworks / Libraries
Logic Analyzers,2,Cloud & DevOps
Logistic Regression,2,AI/ML
Long Short-Term Memory,2,AI/ML
Looker Studio,2,Other
Lovable,2,AI/ML
Low-code,2,Other
Low-code Development,2,Other
MEMS,2,Cloud & DevOps
MEMS IMU,2,Cloud & DevOps
MLD,2,Cloud & DevOps
MLDP,2,Cloud & DevOps
MS Office Suite,2,Other
Machine Learning Frameworks,2,AI/ML
Machine Learning Lifecycle,2,AI/ML
Magento,2,Frameworks / Libraries
Mapbox,2,Databases
MariaDB,2,Databases
Marketing Analytics,2,Databases
Materialize,2,Frameworks / Libraries
Mathematics,2,Other
Megatron,2,AI/ML
Memcache,2,Databases
Meta Quest,2,Frameworks / Libraries
Micro:bit,2,Cloud & DevOps
Microcontroller,2,Cloud & DevOps
Microcontroller Programming,2,Cloud & DevOps
Microsoft Copilot Studio,2,Other
Microsoft Dynamics 365,2,Other
Microsoft Entra,2,Other
Microsoft Exchange,2,Other
Microsoft Office 365,2,Other
Minio,2,Cloud & DevOps
Mixed-Effects Models,2,Other
Mobile,2,Frameworks / Libraries
Mobile Device Management,2,Cloud & DevOps
Mockito,2,Testing
Model Development,2,AI/ML
Model Fine-Tuning,2,AI/ML
Model Validation,2,AI/ML
Model-Based Systems Engineering,2,Other
Model-driven development,2,Other
Modelling,2,Other
Monday.com,2,Other
Multifactor Authentication,2,Cloud & DevOps
Multimedia,2,Cloud & DevOps
Mural,2,Other
NERC CIP,2,Cloud & DevOps
NLTK,2,AI/ML
NVD,2,Cloud & DevOps
Nagios,2,Cloud & DevOps
Navsim,2,AI/ML
Neptune.ai,2,AI/ML
Network Analyzer,2,Cloud & DevOps
Network File System,2,Cloud & DevOps
NetworkX,2,Databases
Networking Switches,2,Cloud & DevOps
Nginx,2,Frameworks / Libraries
OCR,2,AI/ML
OData,2,Frameworks / Libraries
OIDC,2,Frameworks / Libraries
OPC UA,2,Cloud & DevOps
ORAN,2,Cloud & DevOps
OWASP,2,Cloud & DevOps
OWASP ZAP,2,Cloud & DevOps
Object Storage,2,Cloud & DevOps
Okta,2,Cloud & DevOps
Omniverse Replicator,2,AI/ML
Online learning,2,AI/ML
OpenAI APIs,2,AI/ML
OpenEmbedded,2,Cloud & DevOps
Operating System,2,Cloud & DevOps
Operational Technology,2,Cloud & DevOps
Opnet,2,Cloud & DevOps
Optical Spectrum Analyzer,2,Cloud & DevOps
Optics,2,Cloud & DevOps
Oracle APEX,2,Other
Oracle SQL,2,Databases
PC,2,Other
PCI DSS,2,Cloud & DevOps
PCL,2,Languages
PID Tuning,2,Other
PIM,2,Other
PMBOK,2,Other
PON,2,Cloud & DevOps
POS,2,Other
PWM,2,Cloud & DevOps
Parallel Programming,2,Other
Parallel Systems,2,Other
Parquet,2,Databases
Particle Systems,2,Frameworks / Libraries
Patch Management,2,Cloud & DevOps
PathWise,2,Other
Pattern Recognition,2,AI/ML
Perception,2,AI/ML
Performance Engineering,2,Other
Phishing Simulation,2,Cloud & DevOps
Phoenix,2,AI/ML
Phoenix Framework,2,Frameworks / Libraries
Pinot,2,Databases
Pivotal Cloud Foundry,2,Cloud & DevOps
PlasticSCM,2,Cloud & DevOps
Play Framework,2,Frameworks / Libraries
PocketPC,2,Cloud & DevOps
Podman,2,Cloud & DevOps
Polymer,2,Frameworks / Libraries
Potentiometric Titration,2,Other
Power Pages,2,Other
Power Supply,2,Cloud & DevOps
Power Virtual Agents,2,Other
Problem Management,2,Cloud & DevOps
Process Mapping,2,Other
Project Management Life Cycle,2,Other
Project Management Methodology,2,Other
Proof of Concept,2,Other
Protobuf,2,Frameworks / Libraries
Protocol Analyzer,2,Cloud & DevOps
Protocol Stacks,2,Cloud & DevOps
PyCharm,2,Other
PyTorch Mobile,2,AI/ML
Pyautogui,2,Languages
QA Best Practices,2,Testing
QA Processes,2,Testing
QML,2,Languages
QMS,2,Other
Qlik,2,Other
Quality Assurance and Testing,2,Testing
Quality Control,2,Testing
Quality Management System,2,Other
Qualtrics,2,Other
Quantitative Research,2,Databases
Quarkus,2,Frameworks / Libraries
R Shiny,2,Other
RAG (Retrieval Augmented Generation),2,AI/ML
RAG Pipelines,2,AI/ML
RBAC,2,Cloud & DevOps
RESTCONF,2,Cloud & DevOps
RESTful Web Services,2,Frameworks / Libraries
RFID,2,Cloud & DevOps
RLlib,2,AI/ML
RNNs,2,AI/ML
RPA,2,Languages
RPC,2,Frameworks / Libraries
RS232,2,Cloud & DevOps
RTL,2,Cloud & DevOps
RTP,2,Cloud & DevOps
Radio Access Network (RAN),2,Cloud & DevOps
Radish,2,Other
Reactive Programming,2,Other
ReadyAPI,2,Testing
Real-time Processing,2,Cloud & DevOps
Recommender Systems,2,AI/ML
Redux Toolkit,2,Frameworks / Libraries
Refactoring,2,Other
Relational Database Management System,2,Databases
Reliability Analytics,2,Other
Remote Desktop,2,Cloud & DevOps
Rendering,2,Frameworks / Libraries
Renesas RX,2,Cloud & DevOps
Requirement Analysis,2,Other
Requirements Analysis,2,Other
Requirements Gathering,2,Other
Resource scheduling,2,Cloud & DevOps
Retool,2,Databases
Reuters,2,Other
Revit,2,Cloud & DevOps
Robot kinematics,2,Cloud & DevOps
Roku,2,Frameworks / Libraries
Route53,2,Cloud & DevOps
Routing,2,Cloud & DevOps
RxJava,2,Frameworks / Libraries
RxSwift,2,Frameworks / Libraries
SAP Business Data Cloud,2,Other
SAST,2,Cloud & DevOps
SCA,2,Cloud & DevOps
SCPI,2,Cloud & DevOps
SGLang,2,AI/ML
SHAP,2,AI/ML
SKILL,2,Other
SMS,2,Cloud & DevOps
SOC 2,2,Cloud & DevOps
SOME/IP,2,Cloud & DevOps
SONET,2,Cloud & DevOps
SQL Server Reporting Services,2,Databases
SQLite,2,Databases
SQS,2,Cloud & DevOps
SR,2,Cloud & DevOps
SRv6,2,Cloud & DevOps
SSO,2,Cloud & DevOps
STM32,2,Cloud & DevOps
SYSBIOS,2,Cloud & DevOps
Salesforce Marketing Cloud,2,Other
Salesforce Sales Cloud,2,Other
ScalaTest,2,Testing
Scaled Agile Framework,2,Other
Scaled Agile Framework (SAFe),2,Other
Schematics,2,Cloud & DevOps
Scientific Method,2,Other
Secure Development,2,Cloud & DevOps
Security Groups,2,Cloud & DevOps
Security Information and Event Management,2,Cloud & DevOps
Security Monitoring,2,Cloud & DevOps
Segmentation,2,Other
Sensor Simulation,2,Cloud & DevOps
Shader Programming,2,Frameworks / Libraries
Shell Script,2,Languages
Shopify,2,Frameworks / Libraries
Signal Generator,2,Cloud & DevOps
SiteCatalyst,2,Databases
Sitecore,2,Frameworks / Libraries
Skyspark,2,Databases
SocialBee,2,Other
Software Development Kit,2,Other
Software Troubleshooting,2,Other
Software/Hardware Co-design,2,Cloud & DevOps
Solid.js,2,Frameworks / Libraries
Source Code Management,2,Cloud & DevOps
SpaceClaim,2,Cloud & DevOps
Spanner,2,Databases
Sphinx,2,Other
Spirent,2,Cloud & DevOps
Spring Core,2,Frameworks / Libraries
Stable Diffusion,2,AI/ML
Standard Operating Procedures,2,Other
Statistical Analysis Software,2,Databases
Statistical Process Control (SPC),2,Other
Stencil,2,Frameworks / Libraries
Storage Systems,2,Cloud & DevOps
Stream Processing,2,Databases
Styled-components,2,Frameworks / Libraries
Subversion,2,Cloud & DevOps
Superset,2,Other
Swift Concurrency,2,Other
Switch,2,Cloud & DevOps
Switching,2,Cloud & DevOps
Symfony,2,Frameworks / Libraries
System Architecture,2,Other
System Development Lifecycle,2,Other
System Scalability,2,Cloud & DevOps
System and Technology Integration,2,Other
TI DSP,2,Cloud & DevOps
TI MSP430,2,Cloud & DevOps
TOGAF,2,Other
Talend,2,Databases
TanStack Query,2,Frameworks / Libraries
Target Trial Emulation,2,Other
Telemetry,2,Cloud & DevOps
TensorRT-LLM,2,AI/ML
Test Automation Frameworks,2,Testing
Test Design,2,Testing
Test Management System,2,Testing
Test Methodology,2,Testing
TestCafe,2,Testing
TestNG,2,Testing
Text Embeddings,2,AI/ML
Theano,2,AI/ML
Thread,2,Cloud & DevOps
Threat Intelligence,2,Cloud & DevOps
Three.js,2,Frameworks / Libraries
Tizen,2,Frameworks / Libraries
Trajectory planning,2,Cloud & DevOps
UI/UX,2,Other
Unix Shell,2,Languages
Usability,2,Other
User Interface Design,2,Other
User-centric design,2,Other
VISA,2,Cloud & DevOps
VLMs,2,AI/ML
Vector Database,2,Databases
Vector Stores,2,Databases
Vehicle Simulator,2,Cloud & DevOps
Veracode,2,Cloud & DevOps
Verification,2,Testing
Verse,2,Frameworks / Libraries
VirtualBox,2,Cloud & DevOps
Vision Systems,2,Other
Vision-Language Models,2,AI/ML
Visual Basic .NET,2,Cloud & DevOps
Vitest,2,Testing
Vivado,2,Cloud & DevOps
Voltmeter,2,Cloud & DevOps
Web Accessibility,2,Other
Web Application Development,2,Frameworks / Libraries
Web Experience Toolkit,2,Frameworks / Libraries
Web Frameworks,2,Frameworks / Libraries
Webdriver,2,Testing
Webhook,2,Frameworks / Libraries
Webhooks,2,Frameworks / Libraries
Wet Chemistry Titration,2,Other
Windows CE,2,Frameworks / Libraries
